Quality Inn Sunshine Haberfield,,Sydney,4.0,8.6,quality-inn-sunshine-haberfield,385
Adina Apartment Hotel Sydney Surry Hills,Surry Hills,Sydney,4.5,8.5,adina-crown-street,879
"Holiday Inn Darling Harbour, an IHG Hotel",Sydney CBD,Sydney,4.0,8.1,holiday-inn-darling-harbour,1858
"Castlereagh Boutique Hotel, Ascend Hotel Collection",Sydney CBD,Sydney,4.0,7.9,castlereagh-boutique,989
Oaks Sydney Castlereagh Suites,Sydney CBD,Sydney,4.0,7.6,oaks-on-castlereagh-sydney,2616
"Holiday Inn Parramatta, an IHG Hotel",Parramatta,Sydney,4.0,8.2,courtyard-by-marriott-parramatta,1241
Adina Apartment Hotel Coogee Sydney,Coogee,Sydney,4.0,8.5,adina-coogee,1219
Adina Apartment Hotel Chippendale,,Sydney,4.0,8.7,adina-chippendale,346
Novotel Sydney Brighton Beach,Brighton Le Sands,Sydney,4.0,7.5,brighton-beach,2057
Travelodge Hotel Manly Warringah Sydney,Brookvale,Sydney,4.0,8.3,travelodge-manly-warringah,1717
Rydges Sydney Central,Sydney CBD,Sydney,4.5,8.2,rydges-sydney-central,2278
Coogee Sands Hotel & Apartments,Coogee,Sydney,4.0,8.7,coogee-sands-apartments,1210
"West Hotel Sydney, Curio Collection by Hilton",Sydney CBD,Sydney,4.5,8.6,west-sydney,970
Stay at Hotel Steyne,Manly,Sydney,4.0,7.4,steyne,993
Veriu Central,Sydney CBD,Sydney,4.5,7.9,sydney-central-on-wentworth,2504
Quest North Sydney,North Sydney,Sydney,4.0,8.8,quest-north-sydney,926
"Four Points by Sheraton Sydney, Central Park",Chippendale,Sydney,4.0,8.9,four-points-by-sheraton-sydney-central-park,405
Mercure Sydney,Sydney CBD,Sydney,4.0,8.1,sydney,1826
Quest Chatswood,Chatswood,Sydney,4.0,8.2,quest-chatswood,520
Regents Court Sydney,Potts Point,Sydney,4.0,8.4,regents-court-apartments,508
CKS Sydney Airport Hotel,,Sydney,4.5,7.8,airport-sydney-international-inn,2239
Oaks Sydney Hyde Park Suites,Sydney CBD,Sydney,4.0,7.2,oaks-hyde-park-plaza,1711
Vibe Hotel Sydney,Sydney CBD,Sydney,4.5,8.3,vibe-sydney,1508
PARKROYAL Parramatta,Parramatta,Sydney,4.5,8.5,parkroyal-parramatta,2629
Citadines Connect Sydney Airport,Mascot,Sydney,4.0,8.9,felix,4213
The Sydney Boulevard Hotel,Woolloomooloo,Sydney,4.0,8.3,bayview-boulevard-sydney,710
Best Western Plus Camperdown Suites,Camperdown,Sydney,4.0,8.6,adara-parramatta-camperdown,113
Haven Glebe,Glebe,Sydney,4.0,8.4,thehaveninn,976
Studio 8 Residences - Adults Only,Ryde,Sydney,4.0,9.1,studio-8-residences,654
Hotel St Leonards,St Leonards,Sydney,4.5,6.6,st-leonards,138
KULA Mascot Station Free Parking,Mascot,Sydney,3.5,8.1,stay-co-mascot-station,182
"PARKROYAL Darling Harbour, Sydney",Sydney CBD,Sydney,4.5,8.4,park-royal-darling-harbour,1994
Mrs Banks Hotel,Paddington,Sydney,4.0,9.2,mrs-banks,479
Manor Boutique Hotel Sydney,Darlinghurst,Sydney,4.5,7.7,manor-house-boutique-darlinghurst,741
YEHS Hotel Sydney Harbour Suites,Sydney CBD,Sydney,4.0,8.4,sydney-harbour-suites,1258
View Sydney,North Sydney,Sydney,4.0,8.5,north-sydney-harbourview,3563
Veriu Randwick,Randwick,Sydney,4.0,8.3,central-randwick-suites,353
Comfort Inn & Suites Burwood,Burwood,Sydney,4.0,7.3,comfort-inn-suites-burwood,457
Macleay Hotel,Potts Point,Sydney,4.0,8.4,macleay-serviced-apartment,1400
Ballantyne at Mosman - Serviced Apartments,Mosman,Sydney,4.0,7.7,ballantyne-at-mosman-serviced-apartments,84
"Holiday Inn Express Sydney Airport, an IHG Hotel",Mascot,Sydney,4.0,8.6,holiday-inn-express-sydney-airport,1496
The Miller Hotel North Sydney - Formerly Rydges North Sydney,North Sydney,Sydney,4.0,7.5,rydges-north-sydney,393
Quest St Leonards,St Leonards,Sydney,4.0,8.8,quest-st-leonards,1004
Novotel Sydney Parramatta,Parramatta,Sydney,4.0,7.4,novotel-parramatta,1157
Park Regis Concierge Apartments,Cremorne,Sydney,4.0,8.3,park-regis-concierge-apartments,449
"Holiday Inn & Suites - Parramatta Marsden Street, an IHG Hotel",Parramatta,Sydney,4.0,8.5,holiday-inn-suites-parramatta,722
