Name,Suburb,city,Star Rating,Overall Guest rating,reviewName,count_rev
SkyView Villa,,Kangaroo Valley,5,9.4,skyview-villa-kangaroo-valley,123
Meriton Suites North Sydney,North Sydney,Sydney,5,9.0,meriton-serviced-apartments-north-sydney,2900
Kindred Parkside Apartments,,Leeton,5,9.2,kindred-parkside-apartments,124
Emirates One&Only Wolgan Valley,,Newnes,5,9.1,wolgan-valley-resort,180
Meriton Suites Bondi Junction,Bondi,Sydney,5,8.4,meriton-serviced-apartments-bondi-junction,3727
SkyView Villa,,Kangaroo Valley,5,9.4,skyview-villa-kangaroo-valley,123
Shangri-La Sydney,Sydney CBD,Sydney,5,8.3,shangrila-sydney,8700
"Meriton Suites Church Street, Parramatta",Parramatta,Sydney,5,8.6,meriton-serviced-apartments-phillip-lane,3920
Spicers Guesthouse,,Pokolbin,5,9.0,spicers-guesthouse,698
Peppers Salt Resort & Spa,,Kingscliff,5,8.0,peppers-salt-resort,1997
Kindred Lodge Apartments,,Leeton,5,9.2,kindred-lodge-apartments,110
Pullman Sydney Olympic Park,Sydney Olympic Park,Sydney,5,8.3,pullman-at-sydney-olympic-park,1032
SaltBeach2302,,Kingscliff,5,9.1,saltbeach2302,143
Meriton Suites Zetland,,Sydney,5,9.0,serviced-apartments-zetland,1222
"Meriton Suites World Tower, Sydney",Sydney CBD,Sydney,5,9.0,meriton-serviced-apartments-world-tower,3033
Drifted Away,,Valla Beach,5,9.6,drifted-away,189
Powerhouse Hotel Tamworth by Rydges,,Tamworth,5,9.1,quality-powerhouse,986
The Surf Yamba,,Yamba,5,9.6,the-surf-yamba,109
Tonic Hotel,,Lovedale,5,8.8,tonic,133
Crystalbrook Kingsley,,Newcastle,5,8.5,crystalbrook-kingsley,361
"The Barracks, Tocal",,Paterson,5,9.7,the-barracks-tocal,66
Benji's By The Sea,,Scotts Head,5,9.2,quot-benji-39-s-by-the-sea-quot,69
Lilianfels Blue Mountains Resort & Spa,,Katoomba,5,8.4,lilianfels-blue-mountains-resort-and-spa,749
Crystalbrook Byron,,Byron Bay,5,8.9,the-byron-at-byron-resort-and-spa,388
21 Sorrell Shared Apartment,Parramatta,Sydney,5,8.4,21-sorrell,58
The Beach Shack Byron Bay,Belongil Beach,Byron Bay,5,9.4,the-beach-shack-byron-bay,117
Spicers Vineyards Estate,,Pokolbin,5,8.9,the-vineyards-estate,121
Amarna Luxury Beach Resort,,Nelson Bay,5,9.4,amarna-luxury-beach-resort,101
Shambhala @ Byron,Belongil Beach,Byron Bay,5,8.9,shambhala-byron,106
Dragonfly Cottages,,Orange,5,9.6,dragonfly-cottages,119
Ducati's B and B,,Raymond Terrace,5,8.6,ducati-39-s-b-and-b-raymond-terrace12,135
Milton Park Country House Hotel & Spa,,Bowral,5,8.1,milton-park-country-house-amp-spa,228
Park Hyatt Sydney,Sydney CBD,Sydney,5,9.1,park-hyatt-sydney,338
Talga Estate,,Lovedale,5,9.2,talga-estate-rothbury,55
Watermark,Wategos Beach ,Byron Bay,5,9.0,the-watermark,54
Evanslea Luxury Boutique Accommodation,,Mudgee,5,9.6,evanslea-luxury-boutique-accommodation,159
Andavine House - Bed & Breakfast,,Grafton,5,9.4,39-andavine-39-house-bed-amp-breakfast,72
Se-Ayr BnB at Lighthouse,,Port Macquarie,5,9.6,se-ayr-bnb-at-lighthouse,118
Ballina Manor Boutique Hotel,,Ballina,5,9.1,ballina-manor-boutique,392
Sacred Mountain Retreat,,Nambucca Heads,5,8.7,sacred-mountain-retreat,61
Clarence River Bed & Breakfast,,Grafton,5,9.7,clarence-river-bed-amp-breakfast,281
Batemans Bay Apartment,,Batemans Bay,5,8.2,batemans-bay-apartment,74
The Beach House North Wollongong,,Wollongong,5,9.0,the-beach-house-north-wollongong-north-wollongong,63
Ulladulla Guest House,,Ulladulla,5,8.9,ulladulla-guest-house,96
Hunter Oasis,,Morpeth,4,8.6,morpeth-motel-and-villas,669
Angel Sussurri,,Yarramalong,4,9.0,angel-sussurri,89
Rydges World Square,Sydney CBD,Sydney,4.5,8.5,avillion-sydney,4108
The Ultimo,Sydney CBD,Sydney,4,8.5,aarons-sydney,2325
Perouse Randwick by Sydney Lodges,Randwick,Sydney,4,8.3,perouse-lodge,525
The Lurline Randwick,Randwick,Sydney,4,8.5,randwick-lodge,1263
Wildes Hotel Kangaroo Valley,,Kangaroo Valley,4.5,8.9,wildes-kangaroo-valley,118
Lorikeet Holiday Park,,Arrawarra,4.5,8.5,the-lorikeet-tourist-park,664
ibis Thornleigh,,Thornleigh,4,7.7,syndey-ibis-thornleigh,733
Metro Mirage Hotel Newport,,Newport,4,6.6,newportmirage,865
Abode Murrumbateman,,Murrumbateman,4,8.8,abode-murrumbateman,1300
"Holiday Inn Warwick Farm, an IHG Hotel",,Warwick Farm,4,8.3,holiday-inn-warwick-farm,727
Nightingale Villas,,Broke,4.5,8.3,nightingale-villas,336
Young Federation Motor Inn,,Young,4.5,9.1,young-federation-motor-inn,496
Narrabeen Sands Hotel by Nightcap Plus,,Narrabeen,4.5,8.5,quality-sands,1195
The Arabella North Coast,,Wollongbar,4,8.9,arabella-garden-inn,258
Overnight Reflections B&B,,Fishing Point,4,9.7,overnight-reflections-b-amp-b,134
"Holiday Inn Sydney St Marys, an IHG Hotel",,St Marys,4,9.1,holiday-inn-sydney-st-marys,712
Sapphire Chambre B&B,,Sapphire Beach,4,9.0,sapphire-chambre-b-amp-b,132
Anchorage Holiday Park,,Iluka,4,8.5,anchorage-holiday-park,82
Harrington River Lodge,,Harrington,4,8.7,styles-harrington,1101
Blue Mountains YHA,,Katoomba,4.5,8.4,blue-mountains-yha,652
Wentworth Central Motor Inn,,Wentworth,4,7.9,wentworth-central-motor-inn,207
Brezza Bella Boutique Bed & Breakfast,,Merewether,4.5,9.6,brezza-bella-boutique-bed-amp-breakfast,97
The Apple Inn,,Batlow,4,8.2,the-apple-inn,340
St Marys Park View Motel,,St Marys,4,7.6,st-marys-park-view-motel,211
Whispering Pines Cottages,,Wentworth Falls,4.5,9.6,whispering-pines-boutique-accommodation,75
Ten Dollar Town Motel,,Gulgong,4,8.8,ten-dollar-town-motel,763
The Edgewater Bed & Breakfast,,Sanctuary Point,4,9.6,the-edgewater-bed-amp-breakfast,219
Hillcrest Mountain View Retreat,,Crystal Creek,4,9.8,hillcrest-mountain-view-retreat,119
Chittaway Motel,,Tuggerah,4,8.5,chittaway-motel,626
Ingenia Holidays Middle Rock,,One Mile,4,8.1,middle-rock-holiday-resort,469
By the Beach B&B Self Contained Apartments,,Sanctuary Point,4,9.3,by-the-beach-b-amp-b-self-contained-apartments,213
Vibe Hotel Sydney Darling Harbour,Sydney CBD,Sydney,4.5,8.4,vibe-sydney-darling-harbour,2413
Jervis Bay Motel,,Huskisson,4,8.1,jervis-bay-motel,1577
